代码,名称,总市值,成交量
301275,汉朔科技,30264960000.0,70184
301171,易点天下,37755591259.0,1663565
301200,大族数控,57524582259.0,41648
000875,吉电股份,24556622138.0,1606924
002400,省广集团,24075485738.0,3677121
603000,人民网,30992520300.0,246516
600588,用友网络,64957120745.0,4045720
600410,华胜天成,24342181963.0,2839703
601106,中国一重,45261367318.0,8977332
002465,海格通信,66066419696.0,3137338
002353,杰瑞股份,86147229789.0,163077
600498,烽火通信,66210664748.0,3079596
603929,亚翔集成,29610100800.0,55046
603179,新泉股份,46912648480.0,146091
002044,美年健康,31901169472.0,456161
603881,数据港,27671882001.0,788157
002716,湖南白银,28005039368.0,4415094
002281,光迅科技,62202767237.0,489567
002131,利欧股份,67243762521.0,583535
002153,石基信息,40037273647.0,1247785
603171,税友股份,36632001750.0,174656
601992,金隅集团,24985984454.0,1844491
000981,山子高科,56485710517.0,21296790
002429,兆驰股份,43368091015.0,2996380
301377,鼎泰高科,65600000000.0,54981
600126,杭钢股份,32657418433.0,997559
002195,岩山科技,74114149877.0,19339250
002945,华林证券,55485000000.0,1078693
603225,新凤鸣,32564508534.0,152518
600633,浙数文化,22102538047.0,1888231
600570,恒生电子,67127999344.0,1085532
000960,锡业股份,65256047397.0,626046
605255,天普股份,25472518400.0,10394
601216,君正集团,46746616341.0,1193017
000958,电投产融,124044139111.0,662187
600989,宝丰能源,152827222400.0,488746
301611,珂玛科技,52320000000.0,146761
301165,锐捷网络,70867045414.0,128698
600673,东阳光,97569775013.0,907999
601212,白银有色,51907469322.0,4278640
000426,兴业银锡,88835056022.0,865677
002085,万丰奥威,36987842798.0,723857
000603,盛达资源,28392238588.0,382137
002065,东华软件,34811538593.0,1571467
600362,江西铜业,211295748293.0,711263
601233,桐昆股份,44440330205.0,295254
600765,中航重机,31833840395.0,1122470
000100,TCL科技,105252363982.0,5963465
000703,恒逸石化,39412681628.0,367314
603613,国联股份,22509601278.0,213000
601168,西部矿业,71823620000.0,737208
600301,华锡有色,31109668617.0,141132
002463,沪电股份,140959629085.0,688902
002223,鱼跃医疗,44479901340.0,268817
002378,章源钨业,20808553975.0,731458
600879,航天电子,98649050087.0,7297108
600113,浙江东日,26807894409.0,43815
002410,广联达,24399217931.0,914955
600776,东方通信,32492721656.0,1446548
000032,深桑达Ａ,26400654229.0,429364
002779,中坚科技,21061656000.0,45220
600845,宝信软件,71625931110.0,665753
002152,广电运通,35090200349.0,484791
000997,新 大 陆,30909617387.0,293090
002335,科华数据,33192664240.0,454346
000969,安泰科技,31084868957.0,2143575
000975,山金国际,78248033428.0,527991
002648,卫星化学,64037954567.0,462809
920116,星图测控,23186548000.0,158838
002938,鹏鼎控股,125684726088.0,384326
001696,宗申动力,26473022390.0,395811
920045,蘅东光,21958519954.0,23436
603308,应流股份,30930109888.0,233573
301526,国际复材,27414283409.0,1149961
000878,云南铜业,46003305998.0,1186882
301536,星宸科技,27466313060.0,96531
601360,三六零,95753951785.0,5581355
301205,联特科技,23881978080.0,175530
600100,同方股份,32966929496.0,1113275
000617,中油资本,126294369999.0,1614838
600487,亨通光电,61545029692.0,1436270
600343,航天动力,30295655340.0,910879
301005,超捷股份,28523751787.0,204485
601016,节能风电,20222794425.0,922163
002865,钧达股份,24284476316.0,553719
600141,兴发集团,43898629135.0,281165
000066,中国长城,53935360751.0,2677621
002008,大族激光,44530347396.0,423420
000657,中钨高新,79135930812.0,890249
603893,瑞芯微,81032682500.0,151201
002203,海亮股份,36163898224.0,1095655
600651,飞乐音响,22212268213.0,1159340
600482,中国动力,56452700917.0,603957
002230,科大讯飞,145438325785.0,2235856
603127,昭衍新药,32364349622.0,319894
002373,千方科技,21127116435.0,854862
601179,中国西电,65560035282.0,5719673
000725,京东方Ａ,170403909094.0,9137920
000681,视觉中国,22747749347.0,1345920
000977,浪潮信息,102470300986.0,763134
002261,拓维信息,44887795419.0,1428282
600323,瀚蓝环境,23775522777.0,49243
603530,神马电力,20047431663.0,151805
600961,株冶集团,20051990819.0,300849
002180,纳思达,30527740477.0,385487
600219,南山铝业,68328024276.0,3650295
600415,小商品城,98923408437.0,2715011
600733,北汽蓝谷,48155067380.0,2112085
000683,博源化工,28024909962.0,485053
000630,铜陵有色,82468249787.0,5001079
000938,紫光股份,76964749409.0,915831
002217,合力泰,24457634495.0,2558126
000988,华工科技,82722707705.0,759349
000893,亚钾国际,47810408415.0,105554
002241,歌尔股份,106369347960.0,1658407
600839,四川长虹,46947203738.0,3873644
601061,中信金属,76244000000.0,294260
600602,云赛智联,28652758882.0,513723
600549,厦门钨业,79934946339.0,596922
301308,江波龙,118999532754.0,130259
301217,铜冠铜箔,28103626942.0,312629
002379,宏创控股,380378340316.0,252173
002273,水晶光电,35975655557.0,533219
301269,华大九天,63423485058.0,105155
001301,尚太科技,22619387816.0,59822
601519,大智慧,29777725200.0,960516
301236,软通动力,51268235323.0,479907
600095,湘财股份,33909966632.0,511885
000737,北方铜业,30456415796.0,1008406
002837,英维克,96776686420.0,543643
600877,电科芯片,27351774265.0,1556918
002080,中材科技,61201167108.0,485713
000034,神州数码,30254442090.0,330210
600536,中国软件,46801383590.0,339462
000027,深圳能源,32825990420.0,304884
603939,益丰药房,27824395459.0,157740
301219,腾远钴业,21352259836.0,81624
600808,马钢股份,31495786051.0,958493
603019,中科曙光,136889112751.0,712019
600489,中金黄金,127048062302.0,883106
000830,鲁西化工,33439841833.0,312485
603993,洛阳钼业,498487427101.0,2399236
600737,中粮糖业,36060981124.0,388865
600927,永安期货,23973000007.0,109532
002414,高德红外,70467145782.0,1368144
601808,中海油服,74532267040.0,533264
000338,潍柴动力,169130612955.0,1165916
600372,中航机载,73648006709.0,2658647
600629,华建集团,22308085770.0,579859
600131,国网信通,21354686884.0,193582
001309,德明利,53903065254.0,108422
002156,通富微电,62358057114.0,818530
600711,盛屯矿业,53158518677.0,1524697
603650,彤程新材,33768877945.0,471608
002487,大金重工,32085169748.0,240930
000158,常山北明,34849844518.0,863476
000050,深天马Ａ,24921561283.0,711933
600331,宏达股份,33865312000.0,662746
002415,海康威视,287868615386.0,899391
600208,衢州发展,34971746688.0,940186
600998,九州通,27128489859.0,805632
000060,中金岭南,29444973397.0,2097385
600583,海油工程,26837623636.0,1001331
600871,石化油服,46065621374.0,3803557
603156,养元饮品,41790804089.0,112254
600754,锦江酒店,28278234735.0,120382
600497,驰宏锌锗,43498483568.0,2077264
002468,申通快递,20880141544.0,220416
301316,慧博云通,20620160000.0,241675
603337,杰克科技,23492629719.0,44861
603256,宏和科技,31828540950.0,187052
601696,中银证券,41253300000.0,898771
002493,荣盛石化,117375946485.0,523955
000333,美的集团,588070938525.0,945712
002236,大华股份,67049813710.0,997703
000825,太钢不锈,30304038275.0,1838067
601118,海南橡胶,25676566782.0,746021
002128,电投能源,67673103754.0,259522
002444,巨星科技,45199054407.0,110993
600282,南钢股份,33846349650.0,1310462
600988,赤峰黄金,61345272826.0,836724
301606,绿联科技,25724407972.0,28818
601231,环旭电子,63297383713.0,361027
600363,联创光电,32125802063.0,337809
600179,安通控股,21919309751.0,1385311
002518,科士达,30153437618.0,157316
600236,桂冠电力,64004907752.0,144957
603067,振华股份,26987567718.0,378022
001386,马可波罗,28247908800.0,132199
600707,彩虹股份,24580469664.0,586539
002895,川恒股份,23146023955.0,158309
601098,中南传媒,21031160000.0,255677
002074,国轩高科,72764104678.0,585435
002064,华峰化学,59054272374.0,275008
601020,华钰矿业,24713735998.0,431983
603083,剑桥科技,41930129350.0,246563
601899,紫金矿业,1029554467181.0,3107782
002595,豪迈科技,66632000000.0,39406
001221,悍高集团,23716592900.0,15749
301498,乖宝宠物,27368313886.0,35551
000636,风华高科,20270871457.0,418347
603920,世运电路,38948014734.0,504265
002583,海能达,21914363541.0,950209
600183,生益科技,162216582179.0,488397
603228,景旺电子,69911838878.0,239229
600619,海立股份,22894436180.0,446241
603296,华勤技术,98170531048.0,113887
603233,大参林,21342012776.0,59555
002831,裕同科技,25489018815.0,98192
002237,恒邦股份,20991965589.0,556279
600105,永鼎股份,42353989414.0,2278463
002683,广东宏大,38874114934.0,183848
600601,方正科技,52481562652.0,2011367
600884,杉杉股份,30052155850.0,816285
000062,深圳华强,26566096779.0,178202
002120,韵达股份,20178439454.0,376198
600968,海油发展,40152161586.0,647301
601108,财通证券,42118935099.0,697057
600170,上海建工,27279835014.0,9675059
601727,上海电气,143590723917.0,4590640
000592,平潭发展,30058510680.0,3903387
000959,首钢股份,40558479345.0,534576
002265,建设工业,28274315940.0,172582
601958,金钼股份,58788732168.0,456173
000301,东方盛虹,71401287424.0,260317
600171,上海贝岭,23018739648.0,249124
603355,莱克电气,20000057014.0,47726
002545,东方铁塔,25814288222.0,146010
600426,华鲁恒升,70384742934.0,203140
002607,中公教育,20475765971.0,5312690
601138,工业富联,1190896000987.0,1930316
603659,璞泰来,57511863126.0,306904
002436,兴森科技,37885723719.0,994889
002916,深南电路,148049793530.0,93730
000039,中集集团,51822120900.0,578245
002311,海大集团,88494860904.0,67595
600246,万通发展,23422210578.0,1120774
002126,银轮股份,33532378662.0,314035
002371,北方华创,357891123252.0,93964
601208,东材科技,26695049607.0,667298
603175,超颖电子,31103376776.0,47035
603568,伟明环保,43368847576.0,54081
002456,欧菲光,37303556214.0,1361877
301297,富乐德,28679609407.0,62513
603236,移远通信,29513413384.0,129776
600026,中远海能,76021221870.0,733555
600160,巨化股份,98648721800.0,253686
001389,广合科技,33786816875.0,74117
600547,山东黄金,214822715865.0,516586
603605,珀莱雅,28023221378.0,52791
601012,隆基绿能,141179336773.0,2785582
600688,上海石化,30889869275.0,657855
002459,晶澳科技,38888829324.0,897423
601162,天风证券,44426274882.0,3169435
002611,东方精工,23676219313.0,1078744
002402,和而泰,37207444588.0,978031
000021,深科技,42231055519.0,1051289
002130,沃尔核材,34155850016.0,834943
600801,华新建材,49313776794.0,127542
603486,科沃斯,48565708360.0,76571
002797,第一创业,30173232000.0,939719
000877,天山股份,38894389566.0,199243
600259,中稀有色,24320951934.0,304258
600438,通威股份,92560916230.0,1209937
002312,川发龙蟒,21652025029.0,551039
000009,中国宝安,26075853186.0,450592
601611,中国核建,54369569184.0,2315092
600970,中材国际,27660195978.0,350282
600595,中孚实业,36151304128.0,763424
600863,内蒙华电,33574260644.0,480197
603160,汇顶科技,37682908713.0,90708
600906,财达证券,22844800000.0,369165
000582,北部湾港,22156339373.0,458696
603025,大豪科技,20970776637.0,193708
000063,中兴通讯,193493986179.0,2183620
600096,云天化,62729111054.0,486206
000723,美锦能源,21489048851.0,969847
601928,凤凰传媒,26212470000.0,244000
600764,中国海防,20835653598.0,212005
601069,西部黄金,27284423734.0,298831
600745,闻泰科技,48192888308.0,525227
000933,神火股份,68684594345.0,493217
603369,今世缘,44136721310.0,84498
600346,恒力石化,168304875883.0,407138
002624,完美世界,35656619266.0,707885
002423,中粮资本,28040964848.0,293535
001289,龙源电力,131165515613.0,97853
600460,士兰微,48224802068.0,510399
605589,圣泉集团,24807646876.0,212162
002157,正邦科技,29693021911.0,2319555
002714,牧原股份,264015730646.0,498964
000791,甘肃能源,21571534284.0,339073
603392,万泰生物,59755203917.0,56830
002185,华天科技,38161504145.0,1443349
000559,万向钱潮,62991810436.0,3478365
000539,粤电力Ａ,24098803496.0,253595
600350,山东高速,46798645586.0,92119
603379,三美股份,34748466786.0,77216
002601,龙佰集团,47136584067.0,222725
002405,四维图新,25199996893.0,1919714
600655,豫园股份,20668953430.0,168104
601869,长飞光纤,88908729548.0,111091
601878,浙商证券,50906356592.0,479079
600977,中国电影,31253580000.0,775317
600704,物产中大,29992843362.0,866977
600028,中国石化,723134575048.0,2505507
002670,国盛证券,33264105185.0,372024
002603,以岭药业,29755262747.0,306322
600522,中天科技,61467223233.0,1602697
600938,中国海油,1410689034245.0,785300
000519,中兵红箭,26430769478.0,710241
002747,埃斯顿,21888693724.0,448890
600486,扬农化工,27975551723.0,41674
301656,联合动力,65386264843.0,101567
600428,中远海特,20277571719.0,401588
002138,顺络电子,30083737788.0,211578
002673,西部证券,36382395079.0,511462
002841,视源股份,29357977868.0,75054
301626,苏州天脉,20650036800.0,12489
002249,大洋电机,26717595444.0,1252784
000733,振华科技,30728694949.0,386591
002812,恩捷股份,51939800845.0,343371
002179,中航光电,80939136821.0,1240437
600566,济川药业,24047085186.0,40530
002639,雪人集团,21115217525.0,2846746
002171,楚江新材,23272929084.0,2378871
002028,思源电气,126887552609.0,177506
601059,信达证券,57822690000.0,338262
002202,金风科技,143525547969.0,8963325
002484,江海股份,25388139639.0,421486
600835,上海机电,30978773639.0,167434
603345,安井食品,28649516595.0,50798
601136,首创证券,52726009002.0,181234
600516,方大炭素,24075302801.0,1057621
002032,苏 泊 尔,35748657689.0,36529
601969,海南矿业,22720082614.0,676982
600517,国网英大,36540804404.0,735183
002271,东方雨虹,34110634086.0,321613
601866,中远海发,33917975457.0,859312
600256,广汇能源,32279614968.0,1086309
301550,斯菱智驱,41629500000.0,110338
600150,中国船舶,269718266962.0,908737
600060,海信视像,31227986038.0,223004
600089,特变电工,138244404743.0,4602030
605090,九丰能源,33687962685.0,428467
600292,电投水电,58913773403.0,273185
600188,兖矿能源,140524727616.0,274998
601456,国联民生,56124256923.0,579901
002056,横店东磁,32729446929.0,337839
002532,天山铝业,83919009334.0,494305
002340,格林美,44556428367.0,3040821
601236,红塔证券,39998360052.0,220849
000786,北新建材,43526175594.0,183753
600535,天士力,22917193077.0,162307
000983,山西焦煤,39399081349.0,598803
601995,中金公司,172284797619.0,340934
002568,百润股份,23036611753.0,86880
603341,龙旗科技,24254997724.0,286654
600918,中泰证券,53132068083.0,376822
002517,恺英网络,56167092622.0,968418
002500,山西证券,22148890445.0,377576
600999,招商证券,150362948476.0,660535
600760,中航沈飞,169822173369.0,470917
600848,上海临港,30446418138.0,234312
600578,京能电力,36820415583.0,632081
601336,新华保险,259920622712.0,341278
600690,海尔智家,242411726453.0,489552
601816,京沪高铁,250499478374.0,1267870
000708,中信特钢,79442266999.0,164728
601881,中国银河,175278468164.0,529505
600499,科达制造,28326738895.0,481807
600153,建发股份,27168676223.0,186604
603658,安图生物,21359857828.0,43680
600369,西南证券,30501050879.0,577306
000766,通化金马,26182341613.0,329324
603290,斯达半导,24086241210.0,56312
601158,重庆水务,21648104077.0,110953
600925,苏能股份,31757777778.0,98115
000750,国海证券,27843720720.0,1215209
600584,长电科技,75334353397.0,1018697
301358,湖南裕能,46363317818.0,261936
603501,豪威集团,160806936535.0,261890
603899,晨光股份,25501669739.0,71288
003022,联泓新科,26898339520.0,140247
601990,南京证券,35812970251.0,310028
000651,格力电器,225344552960.0,461470
000623,吉林敖东,24216881587.0,221547
601966,玲珑轮胎,21601299601.0,142670
600176,中国巨石,70495237780.0,378537
601799,星宇股份,36158444063.0,18788
002001,新 和 成,77542428986.0,287978
002430,杭氧股份,31277990392.0,311563
600196,复星医药,75039064033.0,340279
603688,石英股份,20789612732.0,114155
600995,南网储能,42538837265.0,288211
000686,东北证券,22491752513.0,658488
600109,国金证券,35386234891.0,513385
